run,timestamp_ms,target_rpm,raw_rpm,filtered_rpm,error_rpm,pi_output,pwm_duty,motor_current,encoder_count,state,fault_flags
,2710,150.0,148.4,149.73,0.27,9.71,9.71,0.046,10158,3,0
,2720,150.0,148.4,149.73,0.27,9.95,9.95,0.048,10195,3,0
,2730,150.0,152.41,149.73,0.27,7.58,7.58,0.02,10233,3,0
,2740,150.0,152.41,151.07,-1.07,7.22,7.22,0.016,10271,3,0
,2750,150.0,148.4,151.07,-1.07,9.47,9.47,0.044,10308,3,0
,2760,150.0,148.4,149.73,0.27,9.71,9.71,0.046,10345,3,0
,2770,150.0,148.4,148.4,1.6,9.95,9.95,0.049,10382,3,0
,2780,150.0,152.41,149.73,0.27,7.58,7.58,0.02,10420,3,0
,2790,150.0,152.41,151.07,-1.07,7.22,7.22,0.016,10458,3,0
,2800,150.0,148.4,151.07,-1.07,9.47,9.47,0.044,10495,3,0
,2810,150.0,148.4,149.73,0.27,9.71,9.71,0.046,10532,3,0
,2820,150.0,148.4,148.4,1.6,9.95,9.95,0.049,10569,3,0
,2830,150.0,152.41,149.73,0.27,7.58,7.58,0.02,10607,3,0
,2840,150.0,148.4,149.73,0.27,9.83,9.83,0.047,10644,3,0
,2850,150.0,152.41,151.07,-1.07,7.46,7.46,0.018,10682,3,0
,2860,150.0,148.4,149.73,0.27,9.71,9.71,0.046,10719,3,0
,2870,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,10757,3,0
,2880,150.0,148.4,149.73,0.27,9.59,9.59,0.045,10794,3,0
,2890,150.0,152.41,151.07,-1.07,7.22,7.22,0.016,10832,3,0
,2900,150.0,148.4,149.73,0.27,9.47,9.47,0.044,10869,3,0
,2910,150.0,148.4,149.73,0.27,9.71,9.71,0.046,10906,3,0
,2920,150.0,148.4,148.4,1.6,9.95,9.95,0.049,10943,3,0
,2930,150.0,152.41,149.73,0.27,7.58,7.58,0.02,10981,3,0
,2940,150.0,148.4,149.73,0.27,9.83,9.83,0.047,11018,3,0
,2950,150.0,152.41,151.07,-1.07,7.46,7.46,0.018,11056,3,0
,2960,150.0,148.4,149.73,0.27,9.71,9.71,0.046,11093,3,0
,2970,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,11131,3,0
,2980,150.0,148.4,149.73,0.27,9.59,9.59,0.045,11168,3,0
,2990,150.0,148.4,149.73,0.27,9.83,9.83,0.047,11205,3,0
,3000,150.0,152.41,149.73,0.27,7.46,7.46,0.018,11243,3,0
,3010,150.0,148.4,149.73,0.27,9.71,9.71,0.046,11280,3,0
,3020,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,11318,3,0
,3030,150.0,148.4,149.73,0.27,9.59,9.59,0.045,11355,3,0
,3040,150.0,148.4,149.73,0.27,9.83,9.83,0.047,11392,3,0
,3050,150.0,152.41,149.73,0.27,7.46,7.46,0.018,11430,3,0
,3060,150.0,148.4,149.73,0.27,9.71,9.71,0.046,11467,3,0
,3070,150.0,148.4,149.73,0.27,9.95,9.95,0.048,11504,3,0
,3080,150.0,152.41,149.73,0.27,7.58,7.58,0.02,11542,3,0
,3090,150.0,152.41,151.07,-1.07,7.22,7.22,0.016,11580,3,0
,3100,150.0,148.4,151.07,-1.07,9.47,9.47,0.044,11617,3,0
,3110,150.0,148.4,149.73,0.27,9.71,9.71,0.046,11654,3,0
,3120,150.0,148.4,148.4,1.6,9.95,9.95,0.049,11691,3,0
,3130,150.0,152.41,149.73,0.27,7.58,7.58,0.02,11729,3,0
,3140,150.0,152.41,151.07,-1.07,7.22,7.22,0.016,11767,3,0
,3150,150.0,148.4,151.07,-1.07,9.47,9.47,0.044,11804,3,0
,3160,150.0,148.4,149.73,0.27,9.71,9.71,0.046,11841,3,0
,3170,150.0,148.4,148.4,1.6,9.95,9.95,0.049,11878,3,0
,3180,150.0,152.41,149.73,0.27,7.58,7.58,0.02,11916,3,0
