run_id,load_level_id,timestamp_ms,target_rpm,raw_encoder_count,raw_speed_rpm,filtered_speed_rpm,pwm_duty_percent,current_a,applied_force_n,estimated_external_torque_nm,disturbance_state,system_state,fault_flags
1,L0,1140,150.0,4286,148.4,149.73,9.83,0.047,0.0,0.0,0,3,0
1,L0,1150,150.0,4324,152.41,149.73,7.46,0.018,0.0,0.0,0,3,0
1,L0,1160,150.0,4361,148.4,149.73,9.71,0.046,0.0,0.0,0,3,0
1,L0,1170,150.0,4399,152.41,151.07,7.34,0.017,0.0,0.0,0,3,0
1,L0,1180,150.0,4436,148.4,149.73,9.59,0.045,0.0,0.0,0,3,0
1,L0,1190,150.0,4473,148.4,149.73,9.83,0.047,0.0,0.0,0,3,0
1,L0,1200,150.0,4511,152.41,149.73,7.46,0.018,0.0,0.0,0,3,0
1,L0,1210,150.0,4548,148.4,149.73,9.71,0.046,0.0,0.0,0,3,0
1,L0,1220,150.0,4585,148.4,149.73,9.95,0.049,0.0,0.0,0,3,0
1,L0,1230,150.0,4623,152.41,149.73,7.58,0.02,0.0,0.0,0,3,0
1,L0,1240,150.0,4661,152.41,151.07,7.22,0.016,0.0,0.0,0,3,0
1,L0,1250,150.0,4698,148.4,151.07,9.47,0.044,0.0,0.0,0,3,0
1,L0,1260,150.0,4735,148.4,149.73,9.71,0.046,0.0,0.0,0,3,0
1,L0,1270,150.0,4772,148.4,148.4,9.95,0.049,0.0,0.0,0,3,0
1,L0,1280,150.0,4810,152.41,149.73,7.58,0.02,0.0,0.0,0,3,0
1,L0,1290,150.0,4848,152.41,151.07,7.22,0.016,0.0,0.0,0,3,0
1,L0,1300,150.0,4885,148.4,151.07,9.47,0.044,0.0,0.0,0,3,0
1,L0,1310,150.0,4922,148.4,149.73,9.71,0.046,0.0,0.0,0,3,0
1,L0,1320,150.0,4959,148.4,148.4,9.95,0.049,0.0,0.0,0,3,0
1,L0,1330,150.0,4997,152.41,149.73,7.58,0.02,0.0,0.0,0,3,0
1,L0,1340,150.0,5034,148.4,149.73,9.83,0.047,0.0,0.0,0,3,0
1,L0,1350,150.0,5072,152.41,151.07,7.46,0.018,0.0,0.0,0,3,0
1,L0,1360,150.0,5109,148.4,149.73,9.71,0.046,0.0,0.0,0,3,0
1,L0,1370,150.0,5147,152.41,151.07,7.34,0.017,0.0,0.0,0,3,0
1,L0,1380,150.0,5184,148.4,149.73,9.59,0.045,0.0,0.0,0,3,0
1,L0,1390,150.0,5221,148.4,149.73,9.83,0.047,0.0,0.0,0,3,0
1,L0,1400,150.0,5259,152.41,149.73,7.46,0.018,0.0,0.0,0,3,0
1,L0,1410,150.0,5296,148.4,149.73,9.71,0.046,0.0,0.0,0,3,0
1,L0,1420,150.0,5334,152.41,151.07,7.34,0.017,0.0,0.0,0,3,0
1,L0,1430,150.0,5371,148.4,149.73,9.59,0.045,0.0,0.0,0,3,0
1,L0,1440,150.0,5408,148.4,149.73,9.83,0.047,0.0,0.0,0,3,0
1,L0,1450,150.0,5446,152.41,149.73,7.46,0.018,0.0,0.0,0,3,0
1,L0,1460,150.0,5483,148.4,149.73,9.71,0.046,0.0,0.0,0,3,0
1,L0,1470,150.0,5521,152.41,151.07,7.34,0.017,0.0,0.0,0,3,0
1,L0,1480,150.0,5558,148.4,149.73,9.59,0.045,0.0,0.0,0,3,0
1,L0,1490,150.0,5595,148.4,149.73,9.83,0.047,0.0,0.0,0,3,0
1,L0,1500,150.0,5633,152.41,149.73,7.46,0.018,0.0,0.0,0,3,0
1,L0,1510,150.0,5670,148.4,149.73,9.71,0.046,0.0,0.0,0,3,0
1,L0,1520,150.0,5708,152.41,151.07,7.34,0.017,0.0,0.0,0,3,0
1,L0,1530,150.0,5745,148.4,149.73,9.59,0.045,0.0,0.0,0,3,0
1,L0,1540,150.0,5782,148.4,149.73,9.83,0.047,0.0,0.0,0,3,0
1,L0,1550,150.0,5820,152.41,149.73,7.46,0.018,0.0,0.0,0,3,0
1,L0,1560,150.0,5857,148.4,149.73,9.71,0.046,0.0,0.0,0,3,0
1,L0,1570,150.0,5895,152.41,151.07,7.34,0.017,0.0,0.0,0,3,0
1,L0,1580,150.0,5932,148.4,149.73,9.59,0.045,0.0,0.0,0,3,0
1,L0,1590,150.0,5969,148.4,149.73,9.83,0.047,0.0,0.0,0,3,0
1,L0,1600,150.0,6007,152.41,149.73,7.46,0.018,0.0,0.0,0,3,0
1,L0,1610,150.0,6044,148.4,149.73,9.71,0.046,0.0,0.0,0,3,0
1,L0,1620,150.0,6081,148.4,149.73,9.95,0.049,0.0,0.0,0,3,0
1,L0,1630,150.0,6119,152.41,149.73,7.58,0.02,0.0,0.0,0,3,0
1,L0,1640,150.0,6157,152.41,151.07,7.22,0.016,0.0,0.0,0,3,0
1,L0,1650,150.0,6194,148.4,151.07,9.47,0.044,0.0,0.0,0,3,0
1,L0,1660,150.0,6231,148.4,149.73,9.71,0.046,0.0,0.0,0,3,0
1,L0,1670,150.0,6268,148.4,148.4,9.95,0.049,0.0,0.0,0,3,0
1,L0,1680,150.0,6306,152.41,149.73,7.58,0.02,0.0,0.0,0,3,0
1,L0,1690,150.0,6343,148.4,149.73,9.83,0.047,0.0,0.0,0,3,0
1,L0,1700,150.0,6381,152.41,151.07,7.46,0.018,0.0,0.0,0,3,0
1,L0,1710,150.0,6418,148.4,149.73,9.71,0.046,0.0,0.0,0,3,0
1,L0,1720,150.0,6456,152.41,151.07,7.34,0.017,0.0,0.0,0,3,0
1,L0,1730,150.0,6493,148.4,149.73,9.59,0.045,0.0,0.0,0,3,0
1,L0,1740,150.0,6531,152.41,151.07,7.22,0.016,0.0,0.0,0,3,0
1,L0,1750,150.0,6568,148.4,149.73,9.47,0.044,0.0,0.0,0,3,0
1,L0,1760,150.0,6605,148.4,149.73,9.71,0.046,0.0,0.0,0,3,0
1,L0,1770,150.0,6642,148.4,148.4,9.95,0.049,0.0,0.0,0,3,0
1,L0,1780,150.0,6680,152.41,149.73,7.58,0.02,0.0,0.0,0,3,0
1,L0,1790,150.0,6717,148.4,149.73,9.83,0.047,0.0,0.0,0,3,0
1,L0,1800,150.0,6755,152.41,151.07,7.46,0.018,0.0,0.0,0,3,0
1,L0,1810,150.0,6792,148.4,149.73,9.71,0.046,0.0,0.0,0,3,0
1,L0,1820,150.0,6830,152.41,151.07,7.34,0.017,0.0,0.0,0,3,0
1,L0,1830,150.0,6867,148.4,149.73,9.59,0.045,0.0,0.0,0,3,0
1,L0,1840,150.0,6904,148.4,149.73,9.83,0.047,0.0,0.0,0,3,0
1,L0,1850,150.0,6942,152.41,149.73,7.46,0.018,0.0,0.0,0,3,0
1,L0,1860,150.0,6979,148.4,149.73,9.71,0.046,0.0,0.0,0,3,0
1,L0,1870,150.0,7017,152.41,151.07,7.34,0.017,0.0,0.0,0,3,0
