timestamp_ms,target_rpm,raw_encoder_count,raw_speed,filtered_speed,error_rpm,pi_output,pwm_duty,current,system_state,fault_flags,disturbance_active,applied_force_n,torque_nm,run_id
1400,150.0,5259,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
1410,150.0,5296,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
1420,150.0,5334,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
1430,150.0,5371,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
1440,150.0,5408,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
1450,150.0,5446,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
1460,150.0,5483,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
1470,150.0,5521,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
1480,150.0,5558,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
1490,150.0,5595,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
1500,150.0,5633,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
1510,150.0,5670,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
1520,150.0,5708,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
1530,150.0,5745,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
1540,150.0,5782,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
1550,150.0,5820,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
1560,150.0,5857,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
1570,150.0,5895,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
1580,150.0,5932,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
1590,150.0,5969,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
1600,150.0,6007,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
1610,150.0,6044,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
1620,150.0,6081,148.4,149.73,0.27,9.95,9.95,0.049,3,0,0,0.0,0.0,1
1630,150.0,6119,152.41,149.73,0.27,7.58,7.58,0.02,3,0,0,0.0,0.0,1
1640,150.0,6157,152.41,151.07,-1.07,7.22,7.22,0.016,3,0,0,0.0,0.0,1
1650,150.0,6194,148.4,151.07,-1.07,9.47,9.47,0.044,3,0,0,0.0,0.0,1
1660,150.0,6231,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
1670,150.0,6268,148.4,148.4,1.6,9.95,9.95,0.049,3,0,0,0.0,0.0,1
1680,150.0,6306,152.41,149.73,0.27,7.58,7.58,0.02,3,0,0,0.0,0.0,1
1690,150.0,6343,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
1700,150.0,6381,152.41,151.07,-1.07,7.46,7.46,0.018,3,0,0,0.0,0.0,1
1710,150.0,6418,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
1720,150.0,6456,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
1730,150.0,6493,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
1740,150.0,6531,152.41,151.07,-1.07,7.22,7.22,0.016,3,0,0,0.0,0.0,1
1750,150.0,6568,148.4,149.73,0.27,9.47,9.47,0.044,3,0,0,0.0,0.0,1
1760,150.0,6605,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
1770,150.0,6642,148.4,148.4,1.6,9.95,9.95,0.049,3,0,0,0.0,0.0,1
1780,150.0,6680,152.41,149.73,0.27,7.58,7.58,0.02,3,0,0,0.0,0.0,1
1790,150.0,6717,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
1800,150.0,6755,152.41,151.07,-1.07,7.46,7.46,0.018,3,0,0,0.0,0.0,1
1810,150.0,6792,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
1820,150.0,6830,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
1830,150.0,6867,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
1840,150.0,6904,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
1850,150.0,6942,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
1860,150.0,6979,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
1870,150.0,7017,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
1880,150.0,7054,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
1890,150.0,7091,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
1900,150.0,7129,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
1910,150.0,7166,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
1920,150.0,7204,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
1930,150.0,7241,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
1940,150.0,7278,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
1950,150.0,7316,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
1960,150.0,7353,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
1970,150.0,7390,148.4,149.73,0.27,9.95,9.95,0.048,3,0,0,0.0,0.0,1
1980,150.0,7428,152.41,149.73,0.27,7.58,7.58,0.02,3,0,0,0.0,0.0,1
1990,150.0,7466,152.41,151.07,-1.07,7.22,7.22,0.016,3,0,0,0.0,0.0,1
2000,150.0,7503,148.4,151.07,-1.07,9.47,9.47,0.044,3,0,0,0.0,0.0,1
2010,150.0,7540,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
2020,150.0,7577,148.4,148.4,1.6,9.95,9.95,0.049,3,0,0,0.0,0.0,1
2030,150.0,7615,152.41,149.73,0.27,7.58,7.58,0.02,3,0,0,0.0,0.0,1
2040,150.0,7653,152.41,151.07,-1.07,7.22,7.22,0.016,3,0,0,0.0,0.0,1
2050,150.0,7690,148.4,151.07,-1.07,9.47,9.47,0.044,3,0,0,0.0,0.0,1
2060,150.0,7727,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
2070,150.0,7764,148.4,148.4,1.6,9.95,9.95,0.049,3,0,0,0.0,0.0,1
2080,150.0,7802,152.41,149.73,0.27,7.58,7.58,0.02,3,0,0,0.0,0.0,1
2090,150.0,7839,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
2100,150.0,7877,152.41,151.07,-1.07,7.46,7.46,0.018,3,0,0,0.0,0.0,1
